model_key,model,parameters,rank_roc_auc,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_f1,cv_mean_brier,train_mean_roc_auc,train_cv_roc_auc_gap
decision_tree,Decision Tree,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 15}",5,0.6841834427562642,0.032398792676877015,0.7063990649332932,0.22381023803191363,0.7268598482845062,0.042676405528242034
decision_tree,Decision Tree,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 30}",1,0.6867961080177679,0.026197335728228445,0.707354897931011,0.22402363435731196,0.7258399408301481,0.03904383281238022
decision_tree,Decision Tree,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 5}",14,0.6581311242163691,0.032441942349474104,0.692844652370287,0.2380303885554052,0.7863089481927067,0.1281778239763376
decision_tree,Decision Tree,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 15}",11,0.6684994947594255,0.036877770521708646,0.6832087476346826,0.23265247155712349,0.7669645631814836,0.09846506842205816
decision_tree,Decision Tree,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 30}",7,0.6814348980480822,0.041388533335507995,0.6856667480211242,0.22773347198095184,0.7516098770485509,0.07017497900046865
decision_tree,Decision Tree,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 5}",18,0.6392435699829103,0.036190473727533146,0.6677616927052009,0.26525970886163974,0.8518463402180014,0.2126027702350911
decision_tree,Decision Tree,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 15}",15,0.6581244843350023,0.0565008737021911,0.6871189555530055,0.23954668885393587,0.7909182589223087,0.13279377458730646
decision_tree,Decision Tree,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 30}",9,0.6769312212428791,0.03849905460810796,0.6895645974834896,0.22880695736471193,0.7551608754302646,0.07822965418738548
random_forest,Random Forest,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}",11,0.6919293628380847,0.06024159479850165,0.7414766029455729,0.2169330393104282,0.9972051371040415,0.30527577426595676
random_forest,Random Forest,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",3,0.71487816018772,0.04970922269294353,0.7524670728258545,0.2086732468477175,0.8459401606745391,0.13106200048681915
random_forest,Random Forest,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",5,0.7130700339211791,0.04477686888189019,0.7584357996743318,0.2104761365588968,0.7700644419888831,0.05699440806770406
random_forest,Random Forest,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 1}",12,0.6824413681753894,0.05623068356679541,0.7204992300518205,0.22254025562808905,0.9970291783741192,0.31458781019872983
random_forest,Random Forest,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5}",10,0.7035770821012759,0.053125516861080704,0.7448768939446897,0.2115452484889908,0.897568792364968,0.1939917102636921
random_forest,Random Forest,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 15}",7,0.7115676258264927,0.04376236366706283,0.757956894681793,0.20943065775504405,0.797546629849559,0.08597900402306635
random_forest,Random Forest,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}",1,0.7158330373573231,0.04710355353609574,0.7562474103072265,0.20802713684630642,0.9206804307443329,0.20484739338700986
random_forest,Random Forest,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",2,0.714986963650195,0.05021115339027699,0.7561800301884345,0.2083575615937944,0.8284328750544795,0.1134459114042845
random_forest,Random Forest,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 15}",4,0.7132142444399197,0.04355913037816449,0.7579209601362641,0.2105007113247775,0.7693604331293719,0.0561461886894522
random_forest,Random Forest,"{""model__max_depth"": 8, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 1}",9,0.7055555169857777,0.05130116129670238,0.7399363015643716,0.21214219588951205,0.9493530153921123,0.24379749840633458
random_forest,Random Forest,"{""model__max_depth"": 8, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5}",6,0.7117035306727806,0.05042971980826846,0.754352659302808,0.20926486113531487,0.8762892999121423,0.16458576923936175
random_forest,Random Forest,"{""model__max_depth"": 8, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 15}",8,0.7106002562820644,0.04345497817370208,0.7574074441323424,0.2095032162203629,0.7968452825015166,0.08624502621945229
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}",9,0.7063778907401911,0.041688476709803156,0.7671632504673094,0.21115888765380197,0.7366178294527506,0.030239938712559478
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",7,0.7072023133964739,0.03936634267336371,0.7528433177895206,0.20967830514652414,0.7469695555063358,0.03976724210986193
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 100}",9,0.7063778907401911,0.041688476709803156,0.7671632504673094,0.21115888765380197,0.7366178294527506,0.030239938712559478
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}",4,0.7088283286929656,0.03962015782347203,0.750535261548487,0.20951532369370773,0.7463279756218908,0.03749964692892516
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}",13,0.7016311015683836,0.03877975588317713,0.7515193330574423,0.21141610106349162,0.7681886388217937,0.06655753725341007
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",11,0.7050681217538768,0.03637345166843555,0.7390062849864397,0.21130403631249234,0.7911278991072068,0.08605977735333004
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 100}",8,0.7064396160256299,0.03724704838324465,0.7495622647271938,0.21084452958961294,0.7673501422866281,0.06091052626099824
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}",2,0.7112931195419943,0.035873918162567894,0.7427130261862918,0.21081623965111573,0.7889212643900203,0.07762814484802605
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}",6,0.7075117822440641,0.033798021896413157,0.7483729216898372,0.20965452079857427,0.7544285994147198,0.04691681717065577
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",12,0.703366180673352,0.0326942469479896,0.7385961315147389,0.21120214855691888,0.7636691554545582,0.060302974781206165
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 100}",3,0.7092525445117581,0.034594878472854036,0.7481474746815248,0.20966379693618037,0.7535249874786052,0.04427244296684707
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}",5,0.7080485627842376,0.03217682086956142,0.7383375798018588,0.21041689459481733,0.7610823672850945,0.05303380450085693
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}",14,0.6992980733125874,0.034109569665695234,0.7419109390818741,0.21365779590077136,0.8096732042605199,0.1103751309479325
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",16,0.6950409843872831,0.03606081372754862,0.724768789564948,0.21750607873972677,0.8325185823586251,0.13747759797134196
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 100}",1,0.7115673485474174,0.03213480143244005,0.7359793631592482,0.21151450873759892,0.8063120672796954,0.09474471873227797
gradient_boosting,Gradient Boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}",15,0.6977773859652762,0.03619782624477467,0.7330803320693717,0.21848320295096454,0.8273425191890617,0.1295651332237855
