position,column,inferred_type,non_missing_count,missing_count,missing_pct,unique_count,unique_pct_non_missing,is_all_missing,is_constant_non_missing,is_unique_non_missing,min,max,mean,top_values
20,receive_wages,integer,1051,0,0.0,5,0.4757,False,False,False,1,5,3.044719314938154138915318744,"[{""value"": ""4"", ""count"": 675}, {""value"": ""1"", ""count"": 282}, {""value"": ""2"", ""count"": 72}, {""value"": ""3"", ""count"": 18}, {""value"": ""5"", ""count"": 4}]"
21,receive_transfers,integer,1051,0,0.0,5,0.4757,False,False,False,1,5,3.607040913415794481446241675,"[{""value"": ""4"", ""count"": 852}, {""value"": ""1"", ""count"": 110}, {""value"": ""3"", ""count"": 74}, {""value"": ""2"", ""count"": 8}, {""value"": ""5"", ""count"": 7}]"
22,receive_pensions,integer,1051,0,0.0,5,0.4757,False,False,False,1,5,3.775451950523311132254995243,"[{""value"": ""4"", ""count"": 950}, {""value"": ""1"", ""count"": 71}, {""value"": ""3"", ""count"": 16}, {""value"": ""2"", ""count"": 7}, {""value"": ""5"", ""count"": 7}]"
23,receive_agriculture,integer,1051,0,0.0,5,0.4757,False,False,False,1,5,3.673644148430066603235014272,"[{""value"": ""4"", ""count"": 893}, {""value"": ""1"", ""count"": 82}, {""value"": ""2"", ""count"": 37}, {""value"": ""3"", ""count"": 31}, {""value"": ""5"", ""count"": 8}]"
24,merchantpay_dig,integer,1051,0,0.0,2,0.1903,False,False,False,0,1,0.2274024738344433872502378687,"[{""value"": ""0"", ""count"": 812}, {""value"": ""1"", ""count"": 239}]"
25,pay_utilities,integer,1051,0,0.0,5,0.4757,False,False,False,1,5,2.600380589914367269267364415,"[{""value"": ""4"", ""count"": 520}, {""value"": ""1"", ""count"": 439}, {""value"": ""2"", ""count"": 70}, {""value"": ""3"", ""count"": 18}, {""value"": ""5"", ""count"": 4}]"
26,domestic_remittances,integer,1045,6,0.5709,4,0.3828,False,False,False,1,4,1.871770334928229665071770335,"[{""value"": ""1"", ""count"": 515}, {""value"": ""3"", ""count"": 371}, {""value"": ""2"", ""count"": 154}, {""value"": ""4"", ""count"": 5}]"
27,anydigpayment,integer,1051,0,0.0,2,0.1903,False,False,False,0,1,0.6955280685061845861084681256,"[{""value"": ""1"", ""count"": 731}, {""value"": ""0"", ""count"": 320}]"
28,fin2,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.615604186489058039961941009,"[{""value"": ""2"", ""count"": 623}, {""value"": ""1"", ""count"": 418}, {""value"": ""3"", ""count"": 6}, {""value"": ""4"", ""count"": 4}]"
29,fin3,integer,480,571,54.3292,3,0.625,False,False,False,1,3,1.345833333333333333333333333,"[{""value"": ""1"", ""count"": 319}, {""value"": ""2"", ""count"": 156}, {""value"": ""3"", ""count"": 5}]"
30,fin4,integer,480,571,54.3292,4,0.8333,False,False,False,1,4,1.308333333333333333333333333,"[{""value"": ""1"", ""count"": 338}, {""value"": ""2"", ""count"": 137}, {""value"": ""3"", ""count"": 4}, {""value"": ""4"", ""count"": 1}]"
31,fin5,integer,480,571,54.3292,5,1.0417,False,False,False,1,5,2.360416666666666666666666667,"[{""value"": ""2"", ""count"": 300}, {""value"": ""3"", ""count"": 80}, {""value"": ""4"", ""count"": 47}, {""value"": ""1"", ""count"": 40}, {""value"": ""5"", ""count"": 13}]"
32,fin6,integer,480,571,54.3292,5,1.0417,False,False,False,1,5,2.402083333333333333333333333,"[{""value"": ""2"", ""count"": 262}, {""value"": ""3"", ""count"": 86}, {""value"": ""1"", ""count"": 58}, {""value"": ""4"", ""count"": 57}, {""value"": ""5"", ""count"": 17}]"
33,fin7,integer,117,934,88.8677,3,2.5641,False,False,False,1,3,1.555555555555555555555555556,"[{""value"": ""1"", ""count"": 57}, {""value"": ""2"", ""count"": 55}, {""value"": ""3"", ""count"": 5}]"
