variable,raw_value,source_label,cleaned_label,mapping_basis,observed_count,used_by_model1,used_by_model2,cleaned_label_model1,cleaned_label_model2
con30g,1,Yes,Yes,documented code,159,False,True,not used,Yes
con30g,2,No,No,documented code,531,False,True,not used,No
con30g,8,Nonresponse,Nonresponse,documented code,6,False,True,not used,Nonresponse
con30g,9,Nonresponse,Nonresponse,documented code,1,False,True,not used,Nonresponse
con30g,<blank>,System missing / routed blank,model-specific; see feature tier,routing-aware missingness policy,354,False,True,not used,Not applicable / skipped
con30h,1,Yes,Yes,documented code,233,False,True,not used,Yes
con30h,2,No,No,documented code,462,False,True,not used,No
con30h,8,Nonresponse,Nonresponse,documented code,2,False,True,not used,Nonresponse
con30h,9,Nonresponse,Nonresponse,documented code,0,False,True,not used,Nonresponse
con30h,<blank>,System missing / routed blank,model-specific; see feature tier,routing-aware missingness policy,354,False,True,not used,Not applicable / skipped
fin46,1,Yes,Yes,documented code,922,True,True,Yes,Yes
fin46,2,No,No,documented code,126,True,True,No,No
fin46,3,Nonresponse,Nonresponse,documented code,1,True,True,Nonresponse,Nonresponse
fin46,4,Nonresponse,Nonresponse,documented code,2,True,True,Nonresponse,Nonresponse
fin46,<blank>,System missing / routed blank,model-specific; see feature tier,routing-aware missingness policy,0,True,True,Missing or nonresponse,Missing or nonresponse
